name,address,city,state,postal_code,latitude,longitude,stars,review_count,weekday_hours,weekend_hours,RestaurantsDelivery,OutdoorSeating,BusinessAcceptsCreditCards,BikeParking,RestaurantsPriceRange2,RestaurantsTakeOut,Caters,RestaurantsReservations,GoodForKids,RestaurantsGoodForGroups,HasTV,WiFi_'no',WiFi_'paid',WiFi_None,WiFi_u'free',WiFi_u'no',WiFi_u'paid',Alcohol_'full_bar',Alcohol_'none',Alcohol_None,Alcohol_u'beer_and_wine',Alcohol_u'full_bar',Alcohol_u'none',RestaurantsAttire_'dressy',RestaurantsAttire_'formal',RestaurantsAttire_None,RestaurantsAttire_u'casual',RestaurantsAttire_u'dressy',RestaurantsAttire_u'formal',NoiseLevel_'loud',NoiseLevel_'quiet',NoiseLevel_'very_loud',NoiseLevel_None,NoiseLevel_u'average',NoiseLevel_u'loud',NoiseLevel_u'quiet',NoiseLevel_u'very_loud',categories_list
Tom Jones Family Restaurant,4417 Edgmont Ave,Brookhaven,PA,19015,39.8743053,-75.3912868,3.5,106,45.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']"
Subway,10652 82nd Avenue,Edmonton,AB,T6E 2A6,53.518302,-113.505604,2.5,5,39.0,15.0,1,1,0,0,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['Fast Food', 'Sandwiches']"
Euro Food & Deli,3949 W Kennedy Blvd,Tampa,FL,33609,27.9451311877,-82.509392314,3.5,9,45.0,9.0,1,0,1,0,2.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sandwiches', 'Delis', 'International Grocery']"
Luigi's Pizza Fresca Burlington,1700 Columbus Rd,Burlington,NJ,08016,40.079957,-74.8190995,4.0,32,45.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sandwiches', 'Specialty Food', 'Pasta Shops', 'Italian', 'Pizza']"
TJ's Italian Cafe,1515 Gulf Blvd,Indian Rocks Beach,FL,33785,27.8984072785,-82.8479462971,3.5,166,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Italian', 'Seafood', 'Pizza']"
Hacienda Restaurant & Bar,"10580 N McCarran Blvd, Ste 102",Reno,NV,89503,39.535435,-119.862883,3.0,69,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Arts & Entertainment', 'Mexican', 'Music Venues', 'Nightlife', 'Bars']"
Kriscroix Restaurant,198 Lincoln Hw,Fairless Hills,PA,19030,40.1838621,-74.8566693,4.5,22,45.0,9.0,1,1,1,0,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Fish & Chips', 'Seafood', 'Chicken Wings', 'Bars', 'Nightlife', 'Beer', 'Wine & Spirits', 'American (Traditional)']"
"Saint Louis Halal Meat, Grocery & Foods - Baba's Restaurant",10276 Page Ave,St Louis,MO,63132,38.6905722,-90.3876797,4.5,52,37.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Specialty Food', 'Indian', 'Ethnic Food', 'Meat Shops', 'Halal', 'Pakistani']"
Trio Breakfast & Lunch,5548 Wayne Ave,Philadelphia,PA,19144,40.03145806,-75.1788476379,3.0,35,40.0,8.0,1,1,1,1,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Chinese', 'American (Traditional)', 'Fast Food', 'Breakfast & Brunch']"
LSUHSC Cafeteria,"1901 Perdido St, Fl 3",New Orleans,LA,70112,29.9555202,-90.0828159,4.0,10,40.0,0.0,1,1,1,1,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Cafeteria']
Nico's Pizza,416 Town Ctr,New Britain,PA,18901,40.2967204455,-75.1904951565,4.0,26,46.0,18.0,1,1,1,1,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Italian', 'Pizza']"
Lion's Choice,11913 Manchester Rd,St. Louis,MO,63131,38.6018258,-90.4329569,3.5,20,49.0,19.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['American (New)', 'American (Traditional)', 'Fast Food', 'Sandwiches']"
Pho Anh Sang,"10 McKenney Avenue, Suite 202",St Albert,AB,T8N 5S8,53.642274,-113.627168,3.0,19,50.0,20.0,1,1,0,1,2.0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Vietnamese']
Smokey Bandit BBQ,2305 Computer Ave,Willow Grove,PA,19090,40.1592504909,-75.1335467398,4.5,35,27.0,18.0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Barbeque', 'Soul Food', 'Southern']"
Plate Restaurant and Bar,105 Coulter Ave,Ardmore,PA,19003,40.0080688,-75.2880533,2.5,61,43.0,18.0,1,1,1,0,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['American (New)']
Larry's Giant Subs,3841 W Kennedy Blvd,Tampa,FL,33609,27.945126,-82.507479,3.5,30,40.0,17.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Delis', 'Sandwiches', 'Gluten-Free', 'Cheesesteaks']"
McDonald's,4420 S Broadway,Saint Louis,MO,63111,38.5754045,-90.2332915,1.5,8,43.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Burgers', 'Fast Food']"
Boiling Pot,"3868 Gentilly Blvd, Ste A",New Orleans,LA,70122,30.0025209516,-90.0460839396,4.0,22,50.0,9.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Seafood', 'Cajun/Creole', 'Chicken Wings', 'Chinese']"
Gary Ray's Texas BBQ,5400 S Old Spanish Trl,Tucson,AZ,85747,32.1518225651,-110.7350504771,2.5,23,18.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Barbeque', 'Burgers']"
Buhos Latin Fusion & Bar,101 Bridge St,Phoenixville,PA,19460,40.1345197,-75.5132178,3.5,60,50.0,20.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Latin American', 'Bars', 'Mexican', 'Nightlife']"
The Hummingbird Restaurant,29 S Warren St,Trenton,NJ,08608,40.2194587018,-74.7661691767,4.0,92,45.0,9.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Caribbean']
BBQ BBQ,537 Easton Rd,Horsham,PA,19044,40.184212,-75.132976,3.5,66,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Comfort Food', 'Chicken Wings', 'Barbeque']"
China Taste,1539 Main St,Dunedin,FL,34698,28.0242182272,-82.7731468198,3.0,19,45.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Chinese']
LeRoux's Chicken Shack,7118 Downman Rd,New Orleans,LA,70126,30.0240155,-90.024042,3.5,19,49.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Burgers', 'Seafood', 'Cajun/Creole', 'Chicken Wings', 'Southern', 'Chicken Shop', 'Soul Food', 'Fish & Chips']"
Napoli Pizza & Subs,"11701 Morrison Rd, Ste 102, Lakewood Plaza Shopping Ctr",New Orleans,LA,70128,30.0511273,-89.9670187,4.0,29,45.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Pizza', 'Food Delivery Services', 'Specialty Food', 'Meat Shops']"
La Tonalteca,1724 W Newport Pike,Wilmington,DE,19804,39.7156445,-75.6297877,3.0,6,43.0,18.0,0,0,1,0,2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Mexican']
Boston Pizza,13803 42 St NW,Edmonton,AB,T5Y 3E1,53.5992767,-113.4061985,3.5,7,46.0,19.0,1,1,0,1,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Pizza', 'Italian']"
Panera Bread,2605 Street Rd,Bensalem,PA,19020,40.109093688,-74.9512557685,3.0,47,40.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['American (New)', 'Bakeries', 'Sandwiches', 'Soup', 'Salad', 'Bagels', 'Breakfast & Brunch']"
Bob Evans,4900 34th St S,St Petersburg,FL,33711,27.7243684974,-82.6787831215,2.5,27,39.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Bed & Breakfast', 'Hotels & Travel', 'Breakfast & Brunch', 'Comfort Food', 'Salad', 'American (Traditional)']"
White Horse Tavern and Wine Bar,707 Lancaster Ave,Frazer,PA,19355,40.0338133,-75.5819777,3.5,26,45.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['American (Traditional)', 'Gluten-Free', 'Nightlife', 'American (New)', 'Wine Bars', 'Bars', 'Venues & Event Spaces', 'Party & Event Planning']"
Vitascope Hall,"601 Loyola Ave, Fl 3",New Orleans,LA,70113,29.9498668241,-90.0768943828,3.5,146,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Bars', 'Nightlife', 'Sushi Bars', 'Burgers', 'Sports Bars', 'Seafood']"
Crazy D’s Hot Chicken,101 University Ter,Reno,NV,89503,39.5362876,-119.818231,3.5,37,43.0,18.0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,[]
La Tolteca,1724 W Newport Pike,Wilmington,DE,19804,39.7156445,-75.6297877,3.0,6,43.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Mexican']
Tokyo Sushi,3 S Orange St,Wilmington,DE,19801,39.7374174,-75.5547254,3.5,17,43.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Sushi Bars']
Asian Garden,4047 Market St,Philadelphia,PA,19104,39.9576083,-75.2036365,3.0,10,43.0,18.0,1,1,1,1,1.0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Chinese']
Ariana,134 Chestnut St,Philadelphia,PA,19106,39.9481961938,-75.1437439718,4.0,115,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Middle Eastern', 'Afghan']"
Local Harvest Grocery and Cafe,12309 Big Bend Rd,Kirkwood,MO,63122,38.5679068239,-90.4385857119,3.0,6,43.0,18.0,0,0,1,0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Cafes']
Ruby Garden Restaurant,6842 Bustleton Ave,Philadelphia,PA,19149,40.041631,-75.06483,3.0,26,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Dim Sum', 'Diners', 'Seafood', 'American (Traditional)', 'Chinese', 'Cantonese']"
Subway Restaurants,400 21st Ave S,Nashville,TN,37203,36.1471283903,-86.7990377411,2.5,16,40.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Fast Food', 'Sandwiches']"
Daily Grind,45 Continental Dr,Reno,NV,89509,39.5071924,-119.8051938,4.0,5,40.0,0.0,1,1,1,1,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Cafes']"
Bruno's Cafe & Trattoria,81 Lancaster Ave,Malvern,PA,19355,40.0437481,-75.5296475,3.5,7,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Italian', 'Pizza']"
Maloney's,213 North 4th Ave,Tucson,AZ,85705,32.2265233298,-110.9658273239,2.0,86,40.0,16.0,1,1,1,1,1.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Nightlife', 'Diners', 'Bars', 'Local Flavor']"
Enjoi Sweets & Company,"4707 W Gandy Blvd, Ste 7",Tampa,FL,33611,27.8937596,-82.5251669,4.5,9,18.0,18.0,0,0,1,1,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Desserts', 'Cafes', 'Food Trucks', 'American (Traditional)']"
Hatter's Cross,800 Royal Pkwy,Nashville,TN,37214,36.14481,-86.662601,4.0,46,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Nightlife', 'Bars', 'American (New)']"
Burger King,90 Franklin Mills Blvd,Philadelphia,PA,19154,40.0879342598,-74.9671626596,2.0,19,41.0,9.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Fast Food', 'Burgers']"
Grabbagreen - Franklin,"2000 Meridian Blvd, Ste 120",Franklin,TN,37067,35.9516098,-86.807833,4.0,73,45.0,20.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Gluten-Free', 'Juice Bars & Smoothies', 'Vegetarian', 'Salad', 'Fast Food']"
Arby's,509 Canal St,New Orleans,LA,70130,29.9521203,-90.0671077,2.5,38,43.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Fast Food']
Chick-fil-A,6500 Charlotte Pike,Nashville,TN,37209,36.14023653,-86.87969636,3.5,112,39.0,9.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Food Delivery Services', 'Fast Food', 'Salad', 'Chicken Shop']"
Burger King,15 S 8th St,Philadelphia,PA,19106,39.949709197,-75.1549760369,2.0,32,35.0,14.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Burgers', 'Fast Food']"
Taziki's Mediterranean Cafe - Mt. Juliet,200 Crossings Ln,Mt Juliet,TN,37122,36.165644,-86.515302,4.0,71,43.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Mediterranean', 'Greek']"
The Great Indian Factory,10149 Saskatchewan Drive,NW Edmonton,AB,T6E 4R5,53.5235396,-113.4937304,3.0,10,50.0,18.0,1,1,0,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Indian']
MK's Asian Persuasion,6417 - 19 Hampton Ave,St. Louis,MO,63109,38.5746867,-90.2949503,4.0,23,46.0,9.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Wraps', 'Juice Bars & Smoothies', 'Asian Fusion', 'Thai']"
Richman's Ice Cream,6935 Bristol Emilie Rd,Levittown,PA,19057,40.1523867,-74.8564014,3.5,54,45.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Hot Dogs', 'American (Traditional)', 'Ice Cream & Frozen Yogurt']"
Gennaro's Tomato PIE,1533 S 11th St,Philadelphia,PA,19147,39.9299503,-75.162894,3.5,49,27.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Pizza']
Quality Foods Market,16307 N Florida Ave,Lutz,FL,33549,28.1024492,-82.4600226,4.5,32,42.0,18.0,1,1,1,1,2.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Salad', 'Grocery', 'Specialty Food', 'Delis', 'Beer', 'Wine & Spirits', 'Beer Bar', 'Nightlife', 'Vegan', 'Sandwiches', 'Bars', 'Pizza', 'Wine Bars', 'Desserts']"
Trackside Cafe,9 E Lancaster Ave,Paoli,PA,19301,40.0428286049,-75.4837458559,2.0,39,43.0,18.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Latin American', 'Burgers', 'Coffee & Tea']"
Sadiki's Restaurant & Lounge,7152 Ogontz Ave,Philadelphia,PA,19138,40.063543,-75.153158,3.0,6,43.0,18.0,0,1,1,0,2.0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Southern']
Eau Cafe,212 N Kingshighway Blvd,Saint Louis,MO,63108,38.6439586883,-90.2642834307,3.0,50,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Nightlife', 'American (New)']"
Vincenzo's,242 S Florissant Rd,Saint Louis,MO,63135,38.7404567,-90.3031213,4.0,40,36.0,9.0,1,1,1,1,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Italian']
Ryan's Country Store,600 ConCord Rd,Aston,PA,19014,39.8672448,-75.4689512,4.0,9,43.0,18.0,1,1,1,0,1.0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['American (Traditional)', 'Delis']"
Tony Luke's,2825 Rt 73,Maple Shade Township,NJ,08052,39.9400247295,-74.9742455897,2.5,93,44.0,17.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Burgers', 'Sandwiches']"
Hendel's,599 Rue St Denis St,Florissant,MO,63031,38.7952860404,-90.3255335,4.5,324,44.0,9.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['American (Traditional)', 'Nightlife', 'Bars', 'American (New)', 'Cocktail Bars', 'Wine Bars']"
Firehouse Subs,"1095 Belt Line Rd, Ste 100",Collinsville,IL,62234,38.6914715715,-89.9857521095,4.0,9,47.0,20.0,1,1,1,0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Sandwiches', 'Delis', 'Fast Food']"
O.E.C. Japanese Sushi & Hibachi,13847 Walsingham Rd,Largo,FL,33774,27.8806471,-82.829772,4.0,56,37.0,21.0,1,1,1,1,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['Japanese', 'Sushi Bars']"
TyeMeka's Soul Food,5920 Germantown Ave,Philadelphia,PA,19144,40.0381549,-75.1769466,3.5,27,36.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Soul Food']
Macarons & Goodies,10548 - 101 Street NW,Edmonton,AB,T5H 2R8,53.5487158886,-113.4938952327,4.0,20,40.0,9.0,1,1,0,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Cafes', 'Custom Cakes', 'Bakeries', 'Mediterranean', 'French', 'Macarons', 'Specialty Food', 'Breakfast & Brunch', 'Chocolatiers & Shops']"
Sbarro,11011 51st Avenue NW,Edmonton,AB,T6H,53.487876,-113.5154679,3.5,6,43.0,18.0,1,0,0,0,2.0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Italian']
BB's Bar-B-Q,228 New Hwy 96 W,Franklin,TN,37064,35.9241788,-86.8794369,3.0,83,45.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['Barbeque']
Penang,117 N 10th St,Philadelphia,PA,19107,39.954044,-75.15598,3.5,1112,45.0,18.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Malaysian', 'Asian Fusion', 'Cambodian', 'Chinese', 'Thai']"
Brew D Licious,667 Central Ave,Saint Petersburg,FL,33701,27.771344,-82.643026,4.5,172,40.0,16.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Local Flavor', 'Cafes', 'Coffee & Tea']"
Popeyes,4041 Magazine St,New Orleans,LA,70115,29.9212469,-90.0978321,3.0,7,43.0,18.0,1,1,1,0,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Fast Food', 'Southern', 'Chicken Wings']"
Main and Vine Bistro,789 E Lancaster Ave,Villanova,PA,19085,40.0376879,-75.3516937,4.0,59,45.0,17.0,1,0,0,0,2.0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Nightlife', 'American (New)', 'Cocktail Bars', 'Bars']"
Gyro Grill,5201 Lapalco Blvd,Marrero,LA,70072,29.8747511058,-90.1051313079,4.5,43,45.0,18.0,1,0,1,0,2.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,['Mediterranean']
Bravo Pizza,550 Kimberton Rd,Phoenixville,PA,19460,40.1306143,-75.5503052,4.5,12,50.0,19.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Pizza']
Buena Vista Mexican Restaurant,215 Lancaster Ave,Malvern,PA,19355,40.0421041651,-75.5410832539,3.5,107,50.0,9.0,1,1,1,1,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Mexican']
Henpeck Village Market,1268 Lewisburg Pike,Franklin,TN,37064,35.871866,-86.8456237,3.0,48,32.0,17.0,1,1,1,1,2.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Breakfast & Brunch', 'Shopping', 'Southern', 'Burgers', 'American (Traditional)', 'Grocery', 'American (New)', 'Buffets']"
Simply Delicious - Country Market & Deli,2128 9th Ave N,Saint Petersburg,FL,33713,27.7808933,-82.6618794,5.0,89,50.0,10.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Delis', 'Cuban', 'Sandwiches', 'Spanish']"
Domino's Pizza,4600 Roosevelt Blvd,Philadelphia,PA,19124,40.029773,-75.0994,2.5,17,40.0,16.0,1,0,1,0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Pizza', 'Sandwiches', 'Chicken Wings']"
Salvo's Pizza of Hermitage,3966 Dodson Chapel Rd,Hermitage,TN,37076,36.1740058,-86.6147556,4.5,97,45.0,18.0,1,1,1,1,2.0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Italian', 'Pizza', 'Sandwiches']"
Yogi's Pizzeria,4825 Trousdale Dr,Nashville,TN,37220,36.075488,-86.760279,4.5,23,36.0,18.0,1,1,0,0,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Pizza', 'Ice Cream & Frozen Yogurt']"
Central Pizza,7280 49th St N,Pinellas Park,FL,33781,27.8381796,-82.7001667,2.5,36,51.0,18.0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,['Pizza']
